label,comment,kannada_script
0,d. boss abhimani kadeyinda,ದ್ boss ಅಭಿಮಾನಿ ಕಡೆಯಿಂದ 
0,make avane srimanarayana part 2,ಮೇಕ್ ಅವನೇ ಶ್ರೀಮನಾರಾಯಣ ಪಾರ್ಟ್ 2 
0,ತಿಪ್ಪನ ಕಥೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಅಕ್ಕ,ತಿಪ್ಪನ ಕಥೆ ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ ಅಕ್ಕ
0,asn releasing onnkannada dec 27ntelugu jan 1stntamil jan 3rdnmalayalam jan 3rdnhindi jan 17,ಅಸ್ನ್ releasing ಒನ್ನಕನ್ನಡ ದೇಸಿ ೨೭ನತೆಲುಗು ಜಾನ್ ೧ಸ್ಟಂಟಮಿಲ್ ಜಾನ್ ೩ರ್ಡ್ನಮಲಯಾಳಂ ಜಾನ್ ೩ರ್ಡ್ನಹಿಂಡಿ ಜಾನ್ 17 
1,super movie sir.. ಆದ್ರೆ ದುರಂತ ನಮ್ಮ ಪ್ರೇಕ್ಷಕ prabhugalna namboduu.. really tumbaa bejaar aytu ದಿಯಾ moviege e thara agiddu.. but prachaara kammi aytu anstide sir.. theatre inda movie hodmele saalu saalalli jana banduu keltidaare..,super movie sir.. ಆದ್ರೆ ದುರಂತ ನಮ್ಮ ಪ್ರೇಕ್ಷಕ prabhugalna namboduu.. really tumbaa bejaar aytu ದಿಯಾ moviege e thara agiddu.. but prachaara kammi aytu anstide sir.. theatre inda movie hodmele saalu saalalli jana banduu keltidaare..
0,d bosss fans kade inda all the best prajju,ದ್ bosss ಫ್ಯಾನ್ಸ್ ಕಡೆ ಇಂದ ಎಲ್ಲ the ಬೆಸ್ಟ್ ಪ್ರಜ್ಜು 
0,hands up yav pada pa,ಹ್ಯಾಂಡ್ಸ್ ಅಪ್ ಯಾವ ಪದ ಪ 
1,beligge yeddhu bavige haarbekittu avaga kanasu nanasu agithithu,ಬೆಳಿಗ್ಗೆ ಎದ್ಧು ಬಾವಿಗೆ ಹಾರ್ಬೇಕಿತ್ತು ಅವಾಗ ಕನಸು ನನಸು agithithu 
0,super togari tippa,ಸೂಪರ್ ತೊಗರಿ ತಿಪ್ಪ 
0,kannadiga tysm anna....nivu comment madidakke...bt sry anna...bcaz nan insta use madalla,ಕನ್ನಡಿಗ ಟಿಸ್ಮ್ ಅಣ್ಣ ನೀವು ಕಾಮೆಂಟ್ ಮಾಡಿದಕ್ಕೆ ಬಿಟ್ ಸರಿ ಅಣ್ಣ ಬಿಕಾಜ್ ನಂ ಇನ್ಸ್ಟಾ ಉಷೆ ಮಾಡಲ್ಲ 
0,ಬಾ ಗುರು ಹೋಗಿ ಬರೋಣ ಫುಲ್ ಕಥೆ ಕೇಳ್ಕೊಂಡು ಬರೋಣ,ಬಾ ಗುರು ಹೋಗಿ ಬರೋಣ ಫುಲ್ ಕಥೆ ಕೇಳ್ಕೊಂಡು ಬರೋಣ
0,editing yar guru 🤩,ಎಡಿಟಿಂಗ್ ಯಾರ್ ಗುರು ಸ್ಟಾರ್ ಸ್ಟ್ರೆಕ್ 
0,lo remake alla antha hekde tane,ಲೋ ರಿಮೇಕ್ ಅಲ್ಲ antha ಹೆಡ್ನದೇ ತಾನೇ 
1,thu nem yogyathe ge maha vishnu hesaru ettu entha movie tegitira nachige agbeku nemge,ಥು ನೇಮ್ ಯೋಗ್ಯತೆ ಗೆ ಮಹಾ ವಿಷ್ಣು ಹೆಸರು ಎತ್ತು entha ಮೂವಿ ತೆಗಿತೀರಾ ನಾಚಿಗೆ ಆಗ್ಬೇಕು ನಿಮ್ಗೆ 
1,parthasarathi ನಿನ್ ಅಕ್ಕುನ್,parthasarathi ನಿನ್ ಅಕ್ಕುನ್
1,mast maga channel nalli baro anchor tharaane nimm voice idiyalla,ಮಸ್ತ್ ಮಗ ಚಾನೆಲ್ ನಲ್ಲಿ ಬಾರೋ anchor ಥರಾನೇ ನಿಮ್ಮ್ ವಾಯ್ಸ್ ಇಡಿಯಲ್ಲ 
1,parthasarathi tunnel unnu gandu,parthasarathi ಟನಲ್ ಉಣ್ಣು ಗಂಡು 
1,ಇಬ್ಬರು ಕಳ್ಳರೇ,ಇಬ್ಬರು ಕಳ್ಳರೇ
1,nanu yash sudeep darshan appu cinema bittu yardu nodalla,ನಾನು ಯಶ್ ಸುದೀಪ್ ದರ್ಶನ ಅಪ್ಪು ಸಿನಿಮಾ ಬಿಟ್ಟು ಯಾರ್ದು ನೋಡಲ್ಲ 
0,kannada kagi like anu vathi n,ಕನ್ನಡ ಕಾಗಿ ಲೈಕ್ ಅಣು ವತಿ ನ್ 
1,parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲ್ ಗಲೀಜು,parthasarathi ನಂದಿನಿ ನಂದಿನಿ ನಿನ್ ತುಲ್ಲ್ ಗಲೀಜು
0,howduu actually eee video nodakku munche indaanu nange ide reethi tumbaa saari hagu pade pade yeshto baari kansu beeltittu heege obbaa vyakti shiva devastana hatra irtane naanu devastaaana dinda aache baruvaga nanna hatra idid bilpatre na keltane but duddu maatra eeskolala but hieght agirtare tanned skin tone forehead poorthi gaaya agirutte but full body ashtaag kansalli gottagallaa but ivatt eee video nodid mele mostly avre irbeku antha anstu,ಹೌದೂ actually ಏಏಏ ವಿಡಿಯೋ ನೋಡಕ್ಕೂ ಮುಂಚೆ ಇಂದಾನು ನಂಗೆ ಇದೆ reethi ತುಂಬಾ ಸಾರಿ ಹಾಗು ಪದೇ ಪದೇ ಎಷ್ಟೋ ಬಾರಿ ಕನಸು ಬೀಳ್ತಿತ್ತು ಹೀಗೆ ಒಬ್ಬಾ ವ್ಯಕ್ತಿ ಶಿವ ದೇವಸ್ಥಾನ hatra ಇರ್ತಾನೆ ನಾನು ದೇವಸ್ಥಾನ ದಿಂದ ಆಚೆ ಬರುವಾಗ ನನ್ನ hatra ಇಡಿದ್ ಬಿಲ್ಪತ್ರೆ ನ ಕೇಳ್ತಾನೆ ಬಟ್ ದುಡ್ಡು ಮಾತ್ರ ಈಸ್ಕೊಲಲ ಬಟ್ hieght ಆಗಿರ್ತಾರೆ ತನ್ನೆಡ್ ಸ್ಕಿನ್ tone forehead poorthi ಗಾಯ ಆಗಿರುತ್ತೆ ಬಟ್ ಫುಲ್ ಬಾಡಿ ಅಷ್ಟಾಗ ಕನಸಲ್ಲಿ ಗೊತ್ತಾಗಲ್ಲಾ ಬಟ್ ಇವತ್ತ್ ಏಏಏ ವಿಡಿಯೋ ನೋಡಿದ್ ಮೇಲೆ ಮೋಸ್ಟ್ಲಿ ಅವ್ರೆ ಇರ್ಬೇಕು antha ಅನ್ಸ್ತು 
1,binduge saryagi ugithidira good go ahead we are enjoying well,ಬಿಂದುಗೆ ಸರ್ಯಾಗಿ ಉಗಿತಿದೀರಾ ಗುಡ್ ಗೋ ಅಹೆಡ್ ವೀ ಅರೆ ಎಂಜಾಯಿನ್ಗ್ ವೆಲ್ 
1,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು,ಬೇವರ್ಸಿ ಚೀನಾ ನನ್ನ ಮಕ್ಕಳು
1,histu hellidri adre nimma background video pubg du kudanu chinese howrde alwa first ninu pubg na stop madinninu heliddu nanu tappu andilla adre hobbarige helo munche nanu correct agirabeku k mandon't feel bad anna,ಹಿಸ್ಟಿ ಹೆಲ್ಲಿದ್ರಿ ಆದ್ರೆ ನಿಮ್ಮ background ವಿಡಿಯೋ ಪುಬ್ಗ್ ದು ಕುದನು ಚೈನೀಸ್ ಹೌರದೆ ಅಲ್ವಾ first ನೀನು ಪುಬ್ಗ್ ನ ಸ್ಟಾಪ್ ಮದಿನ್ನಿನು ಹೇಳಿದ್ದು ನಾನು ತಪ್ಪು ಅಂದಿಲ್ಲ ಆದ್ರೆ ಹೊಬ್ಬರಿಗೆ ಹೇಳೋ munche ನಾನು ಕರೆಕ್ಟ್ ಆಗಿರಬೇಕು ಕೆ ಮಂಡೋನ್ ಟಿ ಫೀಲ್ ಬ್ಯಾಡ ಅಣ್ಣ 
0,nam bhashee kannada njai karnataka jai kannada,ನಮ ಭಾಷೆಯೇ ಕನ್ನಡ ನಂಜೇ ಕರ್ನಾಟಕ ಜೈ ಕನ್ನಡ 
1,channag ugide bro,ಚನ್ನಾಗ್ ಉಗಿದೆ ಬ್ರೋ 
0,super sog ng super dance,ಸೂಪರ್ ಸೋಗ್ ನಂಗ್ ಸೂಪರ್ ಡಾನ್ಸ್ 
0,karavali karavali... itte boda marre?? film super hit aagbeku. bere statesnavru nammatha nodbeku aste...,ಕರಾವಳಿ ಕರಾವಳಿ ಇತ್ತೇ ಬೋಡ ಮರ್ರೆ ಫಿಲಂ ಸೂಪರ್ ಹಿಟ್ ಆಗ್ಬೇಕು ಬೇರೆ ಸ್ಟೇಟ್ಸ್ನವರು ನಮ್ಮತ ನೋಡ್ಬೇಕು ಅಷ್ಟೇ 
1,odeya movie ginta ee movie super annoru like madi...,ಒಡೆಯ ಮೂವಿ ಗಿಂತ ಈ ಮೂವಿ ಸೂಪರ್ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ 
0,h p ಖಂಡಿತವಾಗಿಯೂ,h p ಖಂಡಿತವಾಗಿಯೂ
0,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಫ್ಯಾನ್ ಆಗೋದೇ bro ನಿಮಗೆ,ಸೂಪರ್ ಸೂಪರ್ ಸೂಪರ್ ಫ್ಯಾನ್ ಆಗೋದೇ bro ನಿಮಗೆ
1,nin naman sule gandu boli dagar drashan,ನಿನ್ ನಮನ್ ಸೂಳೆ ಗಂಡು ಬೋಲಿ ಡಗಾರ್ ಡ್ರಾಷನ್ 
0,ರಾಮ ರಾಮ ತುಸು ಧಕ್ಷ ವೃತ ಜಾರಿಪ. . .,ರಾಮ ರಾಮ ತುಸು ಧಕ್ಷ ವೃತ ಜಾರಿಪ. . .
0,kannadigaradavaru kelage like madi kannadabhimana torisi,ಕನ್ನಡಿಗರದವರು ಕೆಳಗೆ ಲೈಕ್ ಮಾಡಿ ಕನ್ನಡಾಭಿಮಾನ torisi 
0,dboss fansnyboss fansnkboss fans,ಡಿಬಾಸ್ ಫ್ಯಾನ್ಸ್ನ್ಯ್ಬೋಸ್ ಫ್ಯಾನ್ಸ್ನ್ಕ್ಬೋಸ್ ಫ್ಯಾನ್ಸ್ 
0,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ,ಚಂದನ್ ಶೆಟ್ಟಿ ಟ್ರೊಲ್ ವಿಡಿಯೋ ನೀವು ನೋಡಿ ನೆಗಡ್ಡೆ ಇದ್ರೆ ನಾವ್ ಗ್ಯಾರಂಟಿ
0,d boss fans sapot iratte 100day,ದ್ boss ಫ್ಯಾನ್ಸ್ ಸಪೋಟ್ ಇರತ್ತೆ ೧೦೦ದಯ್ 
0,ಕನ್ನಡ ನಾಡಿನ ಹೆಮ್ಮೆಯ ಚಿತ್ರ,ಕನ್ನಡ ನಾಡಿನ ಹೆಮ್ಮೆಯ ಚಿತ್ರ
1,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ,ರೀ ನಿಮ್ಮ ತಂದೆಯನ್ನು ನೆನೆದು ನೀವು ಮೊಸಳೆ ಕಣ್ಣೀರು ಹಾಕುತ್ತೀರಾ
0,in ond trip nodbeku but but sinama chenge madbittru olle movi ge olle respans illa nam karnatakadalli,ಇನ್ ಒಂದ್ ಟ್ರಿಪ್ ನೋಡ್ಬೇಕು ಬಟ್ ಬಟ್ ಸಿನಮಾ ಚೇಂಜ್ ಮಾಡ್ಬಿಟ್ಟರು ಒಳ್ಳೆ ಮೂವಿ ಗೆ ಒಳ್ಳೆ ರೆಸ್ಪಾನ್ಸ್ ಇಲ್ಲ ನಮ ಕರ್ನಾಟಕದಲ್ಲಿ 
0,36 m nvideo viral agthila,36 ಮ್ ನವಿದೆಯೋ ವೈರಲ್ ಅಜಿಥಿಲ 
0,ವಿಭಿನ್ನ ಹಾಡು...nಅದ್ಭುತ ವಾಗಿದೆ ಶೇಟ್ರೆ,ವಿಭಿನ್ನ ಹಾಡು...nಅದ್ಭುತ ವಾಗಿದೆ ಶೇಟ್ರೆ
1,bindu lowda smartphones laptop kelvu brand chinade agidru nav use madtha erodakke already tax kattidivi en munde kattod beda antha heltha erodu,ಬಿಂದು ಲೌಡಾ smartphones ಲ್ಯಾಪ್ಟಾಪ್ ಕೆಲವು ಬ್ರಾಂಡ್ ಚೀನಾದೆ ಆಗಿದ್ರು ನಾವ್ ಉಷೆ ಮಾಡ್ತಾ ಇರೋದಕ್ಕೆ already ಟ್ಯಾಕ್ಸ್ ಕಟ್ಟಿದಿವಿ ಏನ್ ಮುಂದೆ ಕಟ್ಟೋದ್ ಬೇಡ antha ಹೇಳ್ತಾ ಏರೋದು 
0,making r awesome bro..avlge ennu usbeku,ಮೇಕಿಂಗ್ ರ್ ಅವೆಸೋಮೇ ಬ್ರೋ ಅವ್ಳ್ಗೆ ಇನ್ನು ಉಸ್ಬೇಕು 
0,hi nan nim vedios nodthini thumba funny agi roast madthira,ಹಿ ನಂ ನಿಮ್ ವೇದಿಯೋಸ್ ನೋಡ್ತಿನಿ ತುಂಬ ಫನ್ನಿ ಆಗಿ ರೋಸ್ಟ್ ಮಾಡ್ತಿರಾ 
0,ತುಂಬಾ ಒಳ್ಳೆಯ ಮಾಹಿತಿ ನೀಡಿದ್ದೀರಿ ಸರ್ ಧನ್ಯವಾದಗಳು ನಿಮಗೆ,ತುಂಬಾ ಒಳ್ಳೆಯ ಮಾಹಿತಿ ನೀಡಿದ್ದೀರಿ ಸರ್ ಧನ್ಯವಾದಗಳು ನಿಮಗೆ
0,film benki ide gurunkannada film industry li ide tara saviraru cinema barli,ಫಿಲಂ ಬೆಂಕಿ ಇದೆ ಗುರುಂಕನ್ನಡ ಫಿಲಂ industry ಲಿ ಇದೆ ತಾರಾ ಸಾವಿರಾರು ಸಿನಿಮಾ ಬಾರ್ಲಿ 
1,cc camera footage thegiri ..avratra keli mahabharata story,ಚ್ಚ್ ಕ್ಯಾಮೆರಾ footage thegiri ಅವ್ರತ್ರ ಕೇಳಿ ಮಹಾಭಾರತ ಸ್ಟೋರಿ 
0,h r aadru avrige loss illa bron production house avru cleanaagi agreement maadkobeku alvaaa brooooo.....,ಹ್ ರ್ ಆದರು ಅವ್ರಿಗೆ ಲೂಸ್ ಇಲ್ಲ ಬ್ರಾನ್ ಪ್ರೊಡಕ್ಷನ್ house ಅವ್ರು ಕ್ವೀನಾಗಿ ಅಗ್ರಿಮೆಂಟ್ ಮಾಡ್ಕೋಬೇಕು ಅಲ್ವಾಲಾ ಬ್ರೂಊಒ 
0,abbbbaa super tik tok ban ayithu,ಅಬ್ಬಬ್ಬಾ ಸೂಪರ್ ಟಿಕ್ ಟಾಕ್ ಬ್ಯಾನ್ ayithu 
0,my boss anna yash boss anna yash boss anna,ಮೈ boss ಅಣ್ಣ ಯಶ್ boss ಅಣ್ಣ ಯಶ್ boss ಅಣ್ಣ 
0,mam osm mam ninu,ಮಾಂ ಒಸ್ಮ್ ಮಾಂ ನೀನು 
1,main theater ella huduki sakagi hoythu,ಮೇನ್ theater ಎಲ್ಲ ಹುಡುಕಿ ಸಾಕಾಗಿ ಹೊಯ್ತು 
0,ತುಂಬಾ ಒಳ್ಳೆ ಸಿನೆಮಾ.. best movie of 2020 in kannada,ತುಂಬಾ ಒಳ್ಳೆ ಸಿನೆಮಾ.. best movie of 2020 in kannada
0,january alli song keloru like madi,ಜನುಅರ್ಯ್ ಅಲ್ಲಿ ಸಾಂಗ್ ಕೇಳೋರು ಲೈಕ್ ಮಾಡಿ 
0,ಸುದ್ದಿ ಮಾಡುವ ಮಾದಕ ಹಾಡು ಕೇಳಿರಿ ಎಲ್ಲರು ......hands up,ಸುದ್ದಿ ಮಾಡುವ ಮಾದಕ ಹಾಡು ಕೇಳಿರಿ ಎಲ್ಲರು ......hands up
0,sir ಇದಂತೂ ದೊಡ್ಡ ಪ್ರಯತ್ನ ವಾಗಿದೆ . ನಮ್ಮ ಜನರಲ್ಲಿ ಪ್ರಾಯೋಗಿಕ ಮನೋಭಾವನೆ ಮೂಡಿಸುವ ಮತ್ತು ನಮ್ಮ ದೇಶದ ಜನರ ನೋನೋಬನೆ ಬಗ್ಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದ್ದೀರಿ ಇಂತ ಪ್ರಯತ್ನ ಗಳಿಂದ ನಮ್ಮ ತಪ್ಪುಗಳ ಹರಿವು ಆಗುದು ಮತ್ತೆ ಬದಲಾವಣೆಗೂ ಸದ್ಯ ವಾಗುತ್ತೇ ದಯವಿಟ್ಟು ಇದೇ ತರಹದ ಇನು ಹೆಚ್ಚಿನ ವೀಡಿಯೋ ಗಳ ಅವಶ್ಯಕತೆ ಇದೇ. ನಿಮ್ಮ ಒಂದು ವಾಹಿನಿಯ ಮೂಲಕ ಜನರ ತಪ್ಪು ಹರಿವು ಆಗಬೇಕು....nನನ್ನ ಮೂಲಕ ನಿಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಹೃದಯ ಪೂರಕ ಧನ್ಯವಾದಗಳು .,sir ಇದಂತೂ ದೊಡ್ಡ ಪ್ರಯತ್ನ ವಾಗಿದೆ . ನಮ್ಮ ಜನರಲ್ಲಿ ಪ್ರಾಯೋಗಿಕ ಮನೋಭಾವನೆ ಮೂಡಿಸುವ ಮತ್ತು ನಮ್ಮ ದೇಶದ ಜನರ ನೋನೋಬನೆ ಬಗ್ಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಹೇಳಿದ್ದೀರಿ ಇಂತ ಪ್ರಯತ್ನ ಗಳಿಂದ ನಮ್ಮ ತಪ್ಪುಗಳ ಹರಿವು ಆಗುದು ಮತ್ತೆ ಬದಲಾವಣೆಗೂ ಸದ್ಯ ವಾಗುತ್ತೇ ದಯವಿಟ್ಟು ಇದೇ ತರಹದ ಇನು ಹೆಚ್ಚಿನ ವೀಡಿಯೋ ಗಳ ಅವಶ್ಯಕತೆ ಇದೇ. ನಿಮ್ಮ ಒಂದು ವಾಹಿನಿಯ ಮೂಲಕ ಜನರ ತಪ್ಪು ಹರಿವು ಆಗಬೇಕು....nನನ್ನ ಮೂಲಕ ನಿಮ್ಮ ಪ್ರಯತ್ನಕ್ಕೆ ಹೃದಯ ಪೂರಕ ಧನ್ಯವಾದಗಳು .
1,osm bro 🤣🤣🤣tiktok shok madutidru avayalla 🤣🤣🤣🤣🤣,ಒಸ್ಮ್ ಬ್ರೋ rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing ಟ್ರಿಕ್ಟಾಕ್ ಶಾಕ್ ಮಾಡುತ್ತಿದ್ರೂ ಅವಯಲ್ಲ rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing 
1,parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..? i still confused,parthasarathi ಹ ನೀನು ಮುಂಡೆ ನ ಎಲ್ಲಾ ಮುಂಡೆಗಂಡಾ ನ ..? i still confused
1,it's amazing movie. i think promotion sari agilla anta anista ide,it ಸ್ ಅಮೇಜಿಂಗ್ ಮೂವಿ ಈ think ಪ್ರಮೋಷನ್ ಸರಿ ಆಗಿಲ್ಲ ಅಂತ ಅನಿಸ್ತಾ ಇದೆ 
0,ಸೂಪರ್ ಗುರು vp voice ultimate,ಸೂಪರ್ ಗುರು vp voice ultimate
0,ನೀವು ಹೇಳಿದ್ದರಲ್ಲಿ ಎನೂ ತಪ್ಪಿಲ್ಲ ...,ನೀವು ಹೇಳಿದ್ದರಲ್ಲಿ ಎನೂ ತಪ್ಪಿಲ್ಲ ...
0,suuper bro... nan idu vargu tik tok app install made illa,ಸೂಪೇರ್ ಬ್ರೋ ನಂ ಇದು ವರ್ಗು ಟಿಕ್ ಟಾಕ್ ಅಪ್ಪ ಇನ್ಸ್ಟಾಲ್ ಮೇಡ್ ಇಲ್ಲ 
0,ee haadu spotify dalli yaake illa,ಈ ಹಾಡು ಸ್ಪೋಟಿಫ್ಯ್ ದಲ್ಲಿ ಯಾಕೆ ಇಲ್ಲ 
1,ದಿಯಾ ಮತ್ತು ಲವ್ ಮಾಕಟೆಲ ಚಿತ್ರದ ಬಗ್ಗೆ ಪ್ರಚಾರ ಕಮ್ಮಿ ಆಗಿದೆ,ದಿಯಾ ಮತ್ತು ಲವ್ ಮಾಕಟೆಲ ಚಿತ್ರದ ಬಗ್ಗೆ ಪ್ರಚಾರ ಕಮ್ಮಿ ಆಗಿದೆ
0,niv helthiro hela mathu 100% sathya anna,ನೀವ್ helthiro ಹೇಳ ಮಾತು 100 ಸತ್ಯ ಅಣ್ಣ 
